step,suite,command,needs,expected,pacing_or_notes,actual,notes
0,environment (once per shell),export DATABASE_URL=postgresql://milan@localhost:54322/milan DIRECT_URL=postgresql://milan@localhost:54322/milan AI_PROVIDER_CHAIN=rules,a new shell,vars set — dotenv in the scripts never overrides exported vars,repeat in every shell you run steps from,,
1,fresh reseed,./scripts/reseed-local.sh,local postgres on port 54322,"9-status board: SUBMITTED×16 ROUTED×4 CITIZEN_VERIFIED×3 FORWARDED_EXTERNAL×2 BOUNTY_LISTED×1 SOLUTION_PUBLISHED×1 IN_RESEARCH×1 CLOSED×1 TRIAGED×1",~10 seconds on the rules tier,,
2,app server,./scripts/reseed-local.sh && pnpm build && pnpm start -H 0.0.0.0 -p 3000,step 1,Ready on :3000 — bind 0.0.0.0 for previews,keep it running for every step below,,
3,phase2 routes + guards,node_modules/.bin/tsx --conditions=react-server scripts/verify-phase2-routes.mts,server,23/23,if you see 429 wait 70s and retry the step,,
4,role gates (registers 5 users),node scripts/verify-roles.mjs,server,every gate holds for every role,auth-heavy — a 429 means wait 70s then retry,,
5,public routes,node scripts/verify-routes.mjs,server,every route 200 with its claimed content,—,,
6,schema dump,node scripts/verify-schema.mjs,database,prints tables / enums / indexes — informational no assertions,—,,
7,submit + EXIF strip,node scripts/verify-submit.mjs,"server + REACHABLE object storage (Supabase per .env.local, or MinIO via pnpm offline:up + S3_ENDPOINT)","Hindi + English reports accepted; photo GPS EXIF destroyed","BLOCKED in offline sandboxes (upload needs storage); adds 2 challenges — harmless additive",,
8,pipeline over SSE,pnpm verify:pipeline,server,9/9,—,,
9,framing + language,pnpm verify:framing,server,9/10 — the voice-note FAIL is a KNOWN human task (BACKLOG 2.2 — seed mp3 is empty),do NOT fix by synthesising audio,,
10,HEI shortlist + claim,pnpm verify:hei,server,27/27 — claims the hero GUM-0001,walks the hero to VERIFIED then releases the real gate,,
11,human triage queue,pnpm verify:triage,server,9/9,consumes 6 queue items and moves pipeline artefacts on,,
12,trust writer,pnpm verify:trust,server,all checks passed (~21s),—,,
13,RESEED for the meta,./scripts/reseed-local.sh,—,pristine board again,REQUIRED — steps 7–12 consumed state (claims triage artefacts the reaper fired); the meta needs pristine,,
14,phase3 meta-suite (3.1–3.9),pnpm verify:phase3,server + step 13,9/9 in about 10 minutes,self-paced with 65s gaps between children — run nothing else against the server concurrently,,
